Category,Source,Destination,Data,Last Seen
Open Ports per Connection,172.16.0.87 (DHCP),swarm (172.16.0.88) (DHCP),"Port: 7946, Transport: TCP",9/7/2022 8:22
Channels Using Non-Standard Ports,swarm (172.16.0.88) (DHCP),172.16.0.87 (DHCP),"Port: 7946, Transport: TCP",9/7/2022 8:22
Channels Using Non-Standard Ports,172.16.0.87 (DHCP),swarm (172.16.0.88) (DHCP),"Port: 7946, Transport: TCP",9/7/2022 8:22
Open Ports per Connection,172.16.0.87 (DHCP),swarm (172.16.0.88) (DHCP),"Port: MQTT (1883), Transport: TCP",9/7/2022 8:22
Open Ports per Connection,172.16.5.20,172.16.0.87 (DHCP),"Port: MQTT (1883), Transport: TCP",9/7/2022 8:22
MQIsdp Publish Information,172.16.0.87 (DHCP),172.16.5.20,Topic Name: SERVICES/442/KT49/Smart_Grinding/SM10/TM/MODULE_OUTPUT,9/7/2022 8:22
MQIsdp Publish Information,172.16.5.20,172.16.0.87 (DHCP),Topic Name: SERVICES/442/KT49/Smart_Grinding/SM10/ILC/MODULE_OUTPUT,9/7/2022 8:22
Open Ports per Connection,10.160.123.129,172.16.0.87 (DHCP),"Port: 8883, Transport: TCP",9/7/2022 8:22
Channels Using Non-Standard Ports,10.160.123.129,172.16.0.87 (DHCP),"Port: 8883, Transport: TCP",9/7/2022 8:22
Open Ports per Connection,172.16.0.85 (DHCP),172.16.0.87 (DHCP),"Port: MQTT (1883), Transport: TCP",9/7/2022 8:19
Open Ports per Connection,B13TNHR21 (172.16.0.82) (DHCP),172.16.0.87 (DHCP),"Port: SSH (22), Transport: TCP",9/7/2022 7:53
Open Ports per Connection,10.160.121.48,172.16.0.87 (DHCP),"Port: HTTPS (443), Transport: TCP",9/7/2022 6:17
Open Ports per Connection,172.16.0.87 (DHCP),10.126.3.80,"Port: HTTPS (443), Transport: TCP",9/7/2022 5:55
Protocol Versions,B13TNHR03 (172.16.0.13) (DHCP),172.16.0.87 (DHCP),"Protocol: SNMP, Revision: N/A, Version: SNMPv1",9/7/2022 3:22
Plain Passwords,N/A,172.16.0.87 (DHCP),"Password: p**********, Protocol: SNMP, Password Strength: Very Weak",9/7/2022 3:22
SNMP Operations,B13TNHR03 (172.16.0.13) (DHCP),172.16.0.87 (DHCP),"Data: Get request, Variable: 1.3.6.1.2.1.17",9/7/2022 3:22
Open Ports per Connection,B13TNHR03 (172.16.0.13) (DHCP),172.16.0.87 (DHCP),"Port: ICMP, Transport: ICMP",9/7/2022 3:17
Open Ports per Connection,10.160.121.72,172.16.0.87 (DHCP),"Port: HTTPS (443), Transport: TCP",9/7/2022 3:11
Open Ports per Connection,10.160.121.169,172.16.0.87 (DHCP),"Port: HTTPS (443), Transport: TCP",8/7/2022 23:57
Open Ports per Connection,10.124.73.213,172.16.0.87 (DHCP),"Port: 9000, Transport: TCP",8/7/2022 23:45
Channels Using Non-Standard Ports,10.124.73.213,172.16.0.87 (DHCP),"Port: 9000, Transport: TCP",8/7/2022 23:45
Open Ports per Connection,10.124.73.213,172.16.0.87 (DHCP),"Port: 9443, Transport: TCP",8/7/2022 23:41
Channels Using Non-Standard Ports,10.124.73.213,172.16.0.87 (DHCP),"Port: 9443, Transport: TCP",8/7/2022 23:41
Open Ports per Connection,10.124.73.213,172.16.0.87 (DHCP),"Port: HTTP (80), Transport: TCP",8/7/2022 23:40
HTTP Connections,10.124.73.213,172.16.0.87 (DHCP),N/A,8/7/2022 23:40
Open Ports per Connection,10.124.73.213,172.16.0.87 (DHCP),"Port: ICMP, Transport: ICMP",8/7/2022 23:39
Open Ports per Connection,10.124.73.213,172.16.0.87 (DHCP),"Port: 8000, Transport: TCP",8/7/2022 23:39
Channels Using Non-Standard Ports,10.124.73.213,172.16.0.87 (DHCP),"Port: 8000, Transport: TCP",8/7/2022 23:39
Open Ports per Connection,10.124.73.213,172.16.0.87 (DHCP),"Port: HTTPS (443), Transport: TCP",8/7/2022 23:38
Open Ports per Connection,10.124.73.213,172.16.0.87 (DHCP),"Port: SSH (22), Transport: TCP",8/7/2022 23:38
SSH Connections,10.124.73.213,172.16.0.87 (DHCP),N/A,8/7/2022 23:37
Empty Passwords,172.16.0.87 (DHCP),N/A,"Protocol: HTTP, Password Strength: Very Weak",8/7/2022 22:41
Protocol Versions,10.124.73.213,172.16.0.87 (DHCP),"Protocol: SNMP, Revision: N/A, Version: SNMPv1",8/7/2022 22:33
Open Ports per Connection,10.124.73.214,172.16.0.87 (DHCP),"Port: HTTPS (443), Transport: TCP",8/7/2022 22:21
Open Ports per Connection,10.124.73.214,172.16.0.87 (DHCP),"Port: HTTP (80), Transport: TCP",8/7/2022 22:18
